PSNR,init_snr,init_sd,iter,sum
9.288866734159907,5.0,2.0,256.0,7604486.0
9.014446734729267,5.0,2.0,512.0,7606907.0
8.449236174059566,5.0,2.0,1024.0,7614551.0
8.887122915527497,5.0,0.0,0.0,7559520.944193308
9.233748827520468,5.0,0.0,8.0,7622329.0
9.310453692727807,5.0,0.0,16.0,7626556.0
9.36977232638662,5.0,0.0,32.0,7624418.5
9.380335112876317,5.0,0.0,64.0,7620572.0
9.325807198464124,5.0,0.0,128.0,7616955.0
9.148304043333063,5.0,0.0,256.0,7614801.5
8.761533194788448,5.0,0.0,512.0,7614833.0
8.027180057177542,5.0,0.0,1024.0,7616127.5
14.065940410148476,10.0,25.0,0.0,4044685.411998091
15.332269193266931,10.0,25.0,8.0,4096318.5
15.711370217762763,10.0,25.0,16.0,4102616.0
16.12517432395088,10.0,25.0,32.0,4103468.25
16.38192521536466,10.0,25.0,64.0,4101996.25
16.514998435712908,10.0,25.0,128.0,4099617.25
16.539715485826555,10.0,25.0,256.0,4096993.5
16.270588450455556,10.0,25.0,512.0,4094754.0
15.246987504886306,10.0,25.0,1024.0,4092910.0
14.064433273330515,10.0,20.0,0.0,4044119.0850057267
15.33398357659615,10.0,20.0,8.0,4095694.75
15.714036628054572,10.0,20.0,16.0,4102070.25
16.127153462316862,10.0,20.0,32.0,4103038.5
16.380143904422873,10.0,20.0,64.0,4101710.5
16.506005682374855,10.0,20.0,128.0,4099505.0
16.518752438469882,10.0,20.0,256.0,4097095.75
16.23296440486486,10.0,20.0,512.0,4095102.0
15.197286893662154,10.0,20.0,1024.0,4093551.75
14.058231667478731,10.0,15.0,0.0,4044590.683674171
15.328365081638538,10.0,15.0,8.0,4096144.75
15.704701267332826,10.0,15.0,16.0,4102425.0
16.113491225820823,10.0,15.0,32.0,4103185.0
16.359140811330082,10.0,15.0,64.0,4101672.0
16.470366071515528,10.0,15.0,128.0,4099340.25
16.45478145828646,10.0,15.0,256.0,4096849.75
16.113811386969704,10.0,15.0,512.0,4094952.25
14.981945683321282,10.0,15.0,1024.0,4093742.5
14.051733006437516,10.0,10.0,0.0,4042390.176158113
15.325546912683858,10.0,10.0,8.0,4094314.5
15.697079693318678,10.0,10.0,16.0,4100364.5
16.097645574811285,10.0,10.0,32.0,4100827.75
16.327340384381397,10.0,10.0,64.0,4098873.75
16.401510391799548,10.0,10.0,128.0,4096055.5
16.30285549213955,10.0,10.0,256.0,4093111.75
15.821350943407884,10.0,10.0,512.0,4090600.25
14.53088366714773,10.0,10.0,1024.0,4088392.5
14.009084547122823,10.0,5.0,0.0,4047218.4265208947
15.319063956564928,10.0,5.0,8.0,4099286.25
15.68257881795098,10.0,5.0,16.0,4105643.0
16.062239237319456,10.0,5.0,32.0,4106564.0
16.245877535259325,10.0,5.0,64.0,4105148.5
16.22059679112026,10.0,5.0,128.0,4102813.0
15.913896896507179,10.0,5.0,256.0,4100287.5
15.081439759652302,10.0,5.0,512.0,4098704.75
13.418691527469575,10.0,5.0,1024.0,4098255.0
